symbol,investing_slug,earnings_url,is_active,notes
ACSEL,aciselsan-acipayam-san.-ticaret-as,,true,verified_2026-05-13
ADEL,adel-kalemcilik,,true,verified_2026-05-13
AEFES,anadolu-efes,,true,verified_2026-05-13
AFYON,afyon-cimento,,true,verified_2026-05-13
AGROT,agrotech-yuksek-teknoloji-ve,,true,verified_2026-05-13
AKCNS,akcansa,,true,verified_2026-05-13
AKHAN,akhan-un-fabrikasi-ve-tarim-urunler,,true,verified_2026-05-13
AKSA,aksa,,true,verified_2026-05-13
ALCAR,alarko-carrier,,true,verified_2026-05-13
ALKA,alkim-kagit,,true,verified_2026-05-13
ALKIM,alkim-kimya,,true,verified_2026-05-13
ALKLC,altinkilic-gida-ve-sut-sanayi,,true,verified_2026-05-13
ALMAD,,https://tr.investing.com/equities/altinyag-earnings,true,verified_2026-05-13_legacy_altinyag_alias
ALVES,alves-kablo-sanayi-ve-ticaret-as,,true,verified_2026-05-13
ANGEN,anatolia-tani-ve-biyoteknoloji,,true,verified_2026-05-13
ARCLK,arcelik,,true,verified_2026-05-13
ARMGD,armada-gida-ticaret-sanayi-anonim,,true,verified_2026-05-13
ARTMS,artemis-hali-as,,true,verified_2026-05-13
ASTOR,astor-enerji-as,,true,verified_2026-05-13
ASUZU,anadolu-isuzu,,true,verified_2026-05-13
ATAKP,atakey-patates-gida-sanayi-ve,,true,verified_2026-05-13
AVOD,a.v.o.d-gida-ve-tarim,,true,verified_2026-05-13
AYGAZ,aygaz,,true,verified_2026-05-13
BAGFS,bagfas,,true,verified_2026-05-13
BAHKM,bahadir-kimya-sanayi-ve-ticaret-as,,true,verified_2026-05-13
BAKAB,bak-ambalaj,,true,verified_2026-05-13
BALSU,balsu-gida-sanayi-ve-ticaret-as,,true,verified_2026-05-13
BANVT,banvit,,true,verified_2026-05-13
BARMA,barem-ambalaj-sanayi-ve-ticaret-as,,true,verified_2026-05-13
BAYRK,bayrak-ebt-taban-sanayi-v,,true,verified_2026-05-13
BESLR,kerevitas-gida,,true,verified_2026-05-13
BFREN,bosch-fren-sistemleri,,true,verified_2026-05-13
BIENY,bien-yapi-urunleri-sanayi-turizm,,true,verified_2026-05-13
BLCYT,bilici-yatirim,,true,verified_2026-05-13
BLUME,metemtur-otelcilik,,true,verified_2026-05-13
BMSCH,bms-celik-hasir-sanayi,,true,verified_2026-05-13
BMSTL,bms-birlesik-metal-sanayi-ve,,true,verified_2026-05-13
BNTAS,bantas-bandirma-ambalaj-sanayi,,true,verified_2026-05-13
BOBET,bogazici-beton-sanayi-ve-ticaret-as,,true,verified_2026-05-13
BORSK,bor-seker-as,,true,verified_2026-05-13
BOSSA,bossa,,true,verified_2026-05-13
BRISA,brisa-bridgestone,,true,verified_2026-05-13
BRKSN,berkosan-yalitim,,true,verified_2026-05-13
BRSAN,borusan-mannesmann,,true,verified_2026-05-13
BSOKE,batisoke-cimento,,true,verified_2026-05-13
BTCIM,bati-cimento,,true,verified_2026-05-13
BUCIM,bursa-cimento,,true,verified_2026-05-13
BURCE,burcelik,,true,verified_2026-05-13
BURVA,burcelik-vana,,true,verified_2026-05-13
BVSAN,bulbuloglu-vinc-sanayi-ve-ticaret,,true,verified_2026-05-13
CCOLA,coca-cola-icecek,,true,verified_2026-05-13
CELHA,celik-halat,,true,verified_2026-05-13
CEMAS,cemas-dokum,,true,verified_2026-05-13
CEMTS,cemtas,,true,verified_2026-05-13
CEMZY,cem-zeytin-as,,true,verified_2026-05-13
CGCAM,cagdas-cam-sanayi-ve-ticaret-as,,true,verified_2026-05-13
CIMSA,cimsa,,true,verified_2026-05-13
CMBTN,cimbeton,,true,verified_2026-05-13
CUSAN,cuhadaroglu-metal-sanayi,,true,verified_2026-05-13
CVKMD,cvk-maden-isletmeleri-sanayi-ve,,true,verified_2026-05-13
DAGI,dagi-giyim,,true,verified_2026-05-13
DARDL,dardanel,,true,verified_2026-05-13
DERIM,derimod,,true,verified_2026-05-13
DESA,desa-deri,,true,verified_2026-05-13
DEVA,deva-holding,,true,verified_2026-05-13
DGNMO,kelebek-mobilya,,true,verified_2026-05-13
DITAS,ditas-dogan,,true,verified_2026-05-13
DMRGD,dmr-unlu-mamuller-uretim-gida,,true,verified_2026-05-13
DMSAS,demisas-dokum,,true,verified_2026-05-13
DNISI,dinamik-isi-makina-yalitim,,true,verified_2026-05-13
DOFER,dofer-yapi-malzemeleri-sanayi-ve,,true,verified_2026-05-13
DOGUB,dogusan,,true,verified_2026-05-13
DOKTA,componenta-dokumculuk,,true,verified_2026-05-13
DURDO,duran-dogan-basim,,true,verified_2026-05-13
DURKN,durukan-sekerleme-sanayi-ve,,true,verified_2026-05-13
DYOBY,dyo-boya,,true,verified_2026-05-13
EFOR,efor-cay-sanayi-tic-as,,true,verified_2026-05-13
EFORC,,https://tr.investing.com/equities/efor-cay-sanayi-tic-as-earnings,true,verified_2026-05-13_alias_to_efor
EGEEN,ege-endustri,,true,verified_2026-05-13
EGGUB,ege-gubre,,true,verified_2026-05-13
EGPRO,ege-profil,,true,verified_2026-05-13
EGSER,ege-seramik,,true,verified_2026-05-13
EKOS,ekos-teknoloji-ve-elektrik-as,,true,verified_2026-05-13
EKSUN,eksun-gida-tarim,,true,verified_2026-05-13
ELITE,elite-naturel-organik-gida,,true,verified_2026-05-13
EMKEL,emek-elektrik,,true,verified_2026-05-13
ENSRI,ensari-deri-gida-sanayi-ve-ticaret,,true,verified_2026-05-13
EPLAS,egeplast,,true,verified_2026-05-13
ERBOS,erbosan,,true,verified_2026-05-13
ERCB,erciyas-celik-boru-sanayi-as,,true,verified_2026-05-13
EREGL,eregli-demir-celik,,true,verified_2026-05-13
ERSU,ersu-gida,,true,verified_2026-05-13
EUPWR,europower-enerji-ve-otomasyon,,true,verified_2026-05-13
EUREN,europen-endustri-insaat-sanayi-ve,,true,verified_2026-05-13
FADE,fade-gida-yatirim-sanayi-ticaret-as,,true,verified_2026-05-13
FMIZP,f-m-izmit-piston,,true,verified_2026-05-13
FORMT,formet-celik-kapi,,true,verified_2026-05-13
FRIGO,frigo-pak-gida,,true,verified_2026-05-13
FRMPL,formul-plastik-ve-metal-sanayi-as,,true,verified_2026-05-13
FROTO,ford-otosan,,true,verified_2026-05-13
GEDZA,gediz-ambalaj,,true,verified_2026-05-13
GENKM,gentas-kimya-sanayi-ve-ticaret-as,,true,verified_2026-05-13
GENTS,gentas,,true,verified_2026-05-13
GEREL,gersan-elektrik,,true,verified_2026-05-13
GIPTA,gipta-ofis-kirtasiye-ve-promosyon,,true,verified_2026-05-13
GOKNR,goknur-gida-maddeleri,,true,verified_2026-05-13
GOLTS,goltas-cimento,,true,verified_2026-05-13
GOODY,good-year,,true,verified_2026-05-13
GUBRF,gubre-fabrik.,,true,verified_2026-05-13
GUNDG,gundogdu-gida-sut-urunleri-sanayi,,true,verified_2026-05-13
HATEK,hatay-tekstil,,true,verified_2026-05-13
HATSN,hatsan-gemi-insaa-bakim-onarim,,true,verified_2026-05-13
HEKTS,hektas,,true,verified_2026-05-13
HKTM,hidropar-hareket-kontrol,,true,verified_2026-05-13
IHEVA,ihlas-ev-aletleri,,true,verified_2026-05-13
IMASM,imas-makina-sanayi-as,,true,verified_2026-05-13
IPEKE,ipek-dogal-enerji,,true,verified_2026-05-13
ISDMR,iskenderun-demir-ve-celik-as,,true,verified_2026-05-13
ISKPL,isik-plastik-sanayi-ve-dis-tic-paz,,true,verified_2026-05-13
ISSEN,isbir-sentetik-dokuma-sanayi-as,,true,verified_2026-05-13
IZFAS,izmir-firca-sanayi-ve-ticaret-as,,true,verified_2026-05-13
IZINV,iz-tarim-ve-gida,,true,verified_2026-05-13
IZMDC,izmir-demir-celik,,true,verified_2026-05-13
JANTS,jantsa-jant-sanayi-ve-ticaret,,true,verified_2026-05-13
KAPLM,kaplamin,,true,verified_2026-05-13
KARSN,karsan-otomotiv,,true,verified_2026-05-13
KARTN,kartonsan,,true,verified_2026-05-13
KATMR,katmerciler-ekipman,,true,verified_2026-05-13
KAYSE,kayseri-seker-fabrikasi-as,,true,verified_2026-05-13
KBORU,kuzey-boru-as,,true,verified_2026-05-13
KCAER,kocaer-celik-sanayi-ve-ticaret-as,,true,verified_2026-05-13
KERVT,,https://tr.investing.com/equities/kerevitas-gida-earnings,true,verified_2026-05-13_legacy_kerevitas_alias
KLKIM,kalekim-kimyevi-madd,,true,verified_2026-05-13
KLMSN,klimasan-klima,,true,verified_2026-05-13
KLSER,,https://tr.investing.com/equities/kaleseramik-canakkale-kalebodur-earnings,true,verified_2026-05-13
KLSYN,koleksiyon-mobilya-sanayi-as,,true,verified_2026-05-13
KMPUR,kimteks-poliuretan-sanayi-ve,,true,verified_2026-05-13
KNFRT,konfrut-gida,,true,verified_2026-05-13
KOCMT,koc-metalurji-as,,true,verified_2026-05-13
KONKA,,https://tr.investing.com/equities/konya-kagit-sanayi-ve-ticaret-as-earnings,true,verified_2026-05-13
KONYA,konya-cimento,,true,verified_2026-05-13
KOPOL,koza-polyester-sanayi-ve-ticaret-as,,true,verified_2026-05-13
KORDS,kordsa-global,,true,verified_2026-05-13
