symbol,action,effective_date,source_type,source_url,confidence
GENKM,add,2026-03-06,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1566292,high
ARSAN,remove,2026-02-09,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1553656,high
AKHAN,add,2026-02-06,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1552912,high
FRMPL,add,2026-01-15,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1542072,high
MEYSU,add,2026-01-13,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1540683,high
MARMR,add,2025-09-16,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1490058,medium
METUR,add,2025-09-08,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1487062,high
SELGD,remove,2025-09-08,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1487084,high
ATEKS,remove,2025-03-20,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1408233,medium
BALSU,add,2025-02-20,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1393969,high
VSNMD,add,2025-02-11,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1391532,high
SERNT,add,2025-02-04,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1388695,high
ARMGD,add,2025-01-03,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1371056,high
CGCAM,add,2024-12-17,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1365997,high
TBORG,add,2024-09-23,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1336226,high
DURKN,add,2024-09-17,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1334351,high
TETMT,remove,2024-09-16,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1333899,high
CEMZY,add,2024-09-09,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1331298,high
OZATD,add,2024-09-05,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1330107,high
GUNDG,add,2024-08-22,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1326605,high
MEGAP,remove,2024-08-22,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1326585,medium
TCKRC,add,2024-08-21,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1326343,high
BAHKM,add,2024-08-13,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1323966,high
EFORC,add,2024-07-05,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1305522,high
SEGMN,add,2024-07-04,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1304844,high
YIGIT,add,2024-06-06,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1294774,high
ALKLC,add,2024-06-04,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1293635,high
OZYSR,add,2024-05-29,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1291655,high
KOCMT,add,2024-05-17,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1286992,high
LILAK,add,2024-05-09,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1283308,high
ARTMS,add,2024-03-04,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1253392,high
OBAMS,add,2024-03-01,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1252921,high
ALVES,add,2024-02-29,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1252590,high
LMKDC,add,2024-02-22,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1250984,high
BORSK,add,2024-02-15,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1249495,high
MEGMT,add,2023-12-15,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1225789,high
KBORU,add,2023-12-14,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1225264,high
AGROT,add,2023-11-23,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1219377,high
EKOS,add,2023-11-21,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1218921,high
MARBL,add,2023-11-08,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1214893,high
DOFER,add,2023-10-16,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1205978,high
DOBUR,remove,2022-06-01,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
HURGZ,remove,2022-06-01,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
IHGZT,remove,2022-06-01,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
