symbol,universe_name,start_date,end_date,source_type,source_url,confidence
AAL,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
AAON,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
ABM,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
ACA,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
ACM,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
ADP,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AGCO,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
AGX,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
AIN,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
AIR,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
AIT,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
ALG,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
ALGT,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
ALK,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
ALLE,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AME,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AMTM,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
AMWD,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
AOS,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
APG,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
APOG,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
ARCB,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
ASTE,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
ATI,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
ATMU,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
AVAV,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
AWI,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
AXON,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AYI,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
AZZ,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
BA,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
BAH,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
BCC,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
BCO,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
BLDR,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
BR,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
BRC,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_600_companies,medium
BWXT,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
CACI,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
CAR,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_400_companies,medium
CARR,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CAT,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CHRW,US_INDUSTRIALS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
