symbol,universe_name,start_date,end_date,source_type,source_url,confidence
ADI,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AMAT,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AMD,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AVGO,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
FSLR,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
INTC,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
KLAC,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
LRCX,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
MCHP,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
MPWR,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
MU,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
NVDA,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
NXPI,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ON,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
Q,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
QCOM,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
SWKS,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TER,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TXN,US_LARGE_CAP_SEMIS,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
