symbol,universe_name,start_date,end_date,source_type,source_url,confidence
ADBE,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ADSK,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
APP,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CDNS,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CRM,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CRWD,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
DDOG,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
FICO,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
FTNT,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
GEN,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
INTU,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
MSFT,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
NOW,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ORCL,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
PANW,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
PLTR,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
PTC,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
SNPS,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TRMB,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
TYL,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
WDAY,US_LARGE_CAP_SOFTWARE,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
