symbol,universe_name,start_date,end_date,source_type,source_url,confidence
AAPL,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ACN,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ADBE,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ADI,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ADSK,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AKAM,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AMAT,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AMD,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
ANET,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
APH,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
APP,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
AVGO,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CDNS,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CDW,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
CIEN,US_LARGE_CAP_TECH,2020-01-01,,current_static,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,medium
